Symbol, Atom radius
Neon,38
Tin,145
Argon,71
Boron,87
Gold,174
Iron,156
Lead,154
Zinc,142
Carbon,67
Helium,31
Oxygen,48
Radon,120
Sulfur,87
Xenon,108
Barium,253
Bromine,94
Cerium,-1
Cesium,298
Cobalt,152
Copper,145
Curium,-1
Erbium,226
Indium,156
Iodine,115
Krypton,87
Nickel,149
Osmium,185
Radium,-1
Silver,165
Sodium,190
Arsenic,114
Bismuth,143
Bohrium,-1
Cadmium,161
Calcium,194
Chlorine,79
Dubnium,-1
Fermium,-1
Fluorine,42
Gallium,136
Hafnium,208
Hassium,-1
Holmium,226
Hydrogen,53
Iridium,180
Lithium,167
Mercury,171
Niobium,198
Nitrogen,56
Rhenium,188
Rhodium,173
Silicon,111
Terbium,225
Thorium,-1
Thulium,222
Uranium,-1
Yttrium,212
Actinium,-1
Aluminum,118
Antimony,133
Astatine,127
Chromium,166
Europium,231
Francium,-1
Lutetium,217
Nihonium,-1
Nobelium,-1
Platinum,177
Polonium,135
Rubidium,265
Samarium,238
Scandium,184
Selenium,103
Tantalum,200
Thallium,156
Titanium,176
Tungsten,193
Vanadium,171
Americium,-1
Beryllium,112
Flerovium,-1
Germanium,125
Lanthanum,-1
Berkelium,-1
Magnesium,145
Manganese,161
Moscovium,-1
Neodymium,206
Neptunium,-1
Oganesson,-1
Palladium,169
Phosphorus,98
Plutonium,-1
Potassium,243
Ruthenium,178
Strontium,219
Tellurium,123
Ytterbium,222
Zirconium,206
Dysprosium,228
Gadolinium,233
Lawrencium,-1
Meitnerium,-1
Molybdenum,190
Promethium,205
Seaborgium,-1
Technetium,183
Tennessine,-1
Californium,-1
Copernicium,-1
Einsteinium,-1
Livermorium,-1
Mendelevium,-1
Roentgenium,-1
Darmstadtium,-1
Praseodymium,247
Protactinium,-1
Rutherfordium,-1